,t,ax,ay,az,gx,gy,gz,vx,vy,vz,x,y,z
3176,0.005006591796875,0.07853981852531433,0.02617993950843811,-0.08203047513961792,0.6668521761894226,-1.2944778203964233,8.992697715759277,0.058228058969164526,-0.48959763593863564,3.1728821367932643,-0.12144686294745283,-1.2845155478006982,8.181709253134565
3177,0.0002978515625,0.07853981852531433,0.02617993950843811,-0.08203047513961792,0.6472389101982117,-1.3042844533920288,9.022117614746094,0.05862127578032142,-0.48946656366825003,3.1724714436893366,-0.12115533882506985,-1.286966763308558,8.197594578813087
3178,0.00504248046875,0.12217304855585098,0.01745329238474369,-0.0890117883682251,0.6472389101982117,-1.3042844533920288,9.022117614746094,0.05864466898798765,-0.48945876593236126,3.1724470107841443,-0.12113787838648293,-1.287112551689338,8.198539504389576
3179,0.0060185546875,0.1466076523065567,0.006981316953897476,-0.08552113175392151,0.6472389101982117,-1.3042844533920288,9.022117614746094,0.059260724199138165,-0.4893707580463958,3.1719981705798084,-0.1208421637885147,-1.2895806379568104,8.214536506479599
3180,0.0001962890625,0.1466076523065567,0.006981316953897476,-0.08552113175392151,0.6080122590065002,-1.2650578022003174,9.129990577697754,0.06014309037215115,-0.489328740608518,3.1714834569714103,-0.12048549987910132,-1.292525942626576,8.233627350937883
3181,0.003401123046875,0.1762782484292984,0.001745329238474369,-0.0872664600610733,0.6080122590065002,-1.2650578022003174,9.129990577697754,0.060171867850777744,-0.4893273702523581,3.171466670108635,-0.12047369444827633,-1.2926219925063245,8.234249878452387
3182,0.005042236328125,0.1762782484292984,0.001745329238474369,-0.0872664600610733,0.5295590758323669,-1.2160245180130005,9.208444595336914,0.0607714118641734,-0.4893214341728608,3.1711698661401018,-0.12026904252175552,-1.2942862551027565,8.245036426836489
3183,0.0002939453125,0.18675023317337036,0.0,-0.0890117883682251,0.5295590758323669,-1.2160245180130005,9.208444595336914,0.06166024845226184,-0.48931263381037,3.170729848024955,-0.11996261870114255,-1.2967535294142731,8.261026214738196
3184,0.005162109375,0.2024581879377365,0.0,-0.09075711667537689,0.5295590758323669,-1.2160245180130005,9.208444595336914,0.06171514280791143,-0.48931263381037005,3.1707036834270066,-0.11994449396014241,-1.2968973605693286,8.261958235914227
3185,0.005029052734375,0.2024581879377365,0.0,-0.09075711667537689,0.45110589265823364,-1.206217885017395,9.129990577697754,0.06276025411791034,-0.48931263381037005,3.170235185264169,-0.11962591364287424,-1.299423245903627,8.278325755123792
3186,0.000201416015625,0.22165681421756744,-0.001745329238474369,-0.0872664600610733,0.45110589265823364,-1.206217885017395,9.129990577697754,0.0637784270215552,-0.48931263381037005,3.1697787629383885,-0.11931028901529246,-1.3018840249426553,8.294269035050856
3187,0.00405810546875,0.24958208203315735,-0.006981316953897476,-0.0872664600610733,0.45110589265823364,-1.206217885017395,9.129990577697754,0.06382307225391104,-0.48931298534763124,3.1697611860757053,-0.11929744301863897,-1.3019825803437524,8.2949074792597
3188,0.004953857421875,0.24958208203315735,-0.006981316953897476,-0.0872664600610733,0.40207263827323914,-1.206217885017395,9.071150779724121,0.0648359026659118,-0.4893413162681409,3.169407049576893,-0.11903844226009293,-1.303968264045522,8.307770704463547
3189,0.000199951171875,0.2862339913845062,-0.006981316953897476,-0.0872664600610733,0.40207263827323914,-1.206217885017395,9.071150779724121,0.06607229671535877,-0.4893759007169475,3.1689747439760385,-0.11871725444246746,-1.306392391156947,8.323471495099035
3190,0.004923828125,0.3141592741012573,-0.010471975430846214,-0.08377580344676971,0.40207263827323914,-1.206217885017395,9.071150779724121,0.06612952953736656,-0.4893772966394536,3.168957294945084,-0.11870404320931073,-1.3064902424417828,8.324105135312736
3191,0.004790771484375,0.3141592741012573,-0.010471975430846214,-0.08377580344676971,0.34323275089263916,-1.2160245180130005,9.012310981750488,0.06767639580691592,-0.4894288588466043,3.168544797287878,-0.11837843277188163,-1.3088998521387125,8.33970853636851
3192,0.00025244140625,0.33510321378707886,-0.005235987715423107,-0.08203047513961792,0.34323275089263916,-1.2160245180130005,9.012310981750488,0.06918146109883219,-0.4894790276878835,3.168143446557645,-0.11805421062468453,-1.3112445939593047,8.354888310430322
3193,0.00507763671875,0.36128315329551697,-0.012217304669320583,-0.08028514683246613,0.34323275089263916,-1.2160245180130005,9.012310981750488,0.06926605502535951,-0.4894803494679854,3.1681227386691453,-0.11803674635935833,-1.3113681587333843,8.355688081017172
3194,0.00441650390625,0.36128315329551697,-0.012217304669320583,-0.08028514683246613,0.3628460466861725,-1.235637903213501,8.963277816772461,0.07110051963039862,-0.4895423845027786,3.1677150798596188,-0.1176850384949986,-1.3138535621289493,8.371774657364545
3195,0.0003798828125,0.3874630928039551,-0.008726646192371845,-0.07679449021816254,0.3628460466861725,-1.235637903213501,8.963277816772461,0.07269612808819056,-0.4895963422765744,3.167360500195019,-0.11737102277231455,-1.316015627982381,8.385764883388633
3196,0.005137939453125,0.406661719083786,-0.013962633907794952,-0.07155849784612656,0.3628460466861725,-1.235637903213501,8.963277816772461,0.07284331865762489,-0.4895996573794737,3.1673313272880907,-0.11734340676271855,-1.3162016172178745,8.386968109203648
3197,0.0041953125,0.406661719083786,-0.013962633907794952,-0.07155849784612656,0.3922659754753113,-1.2650578022003174,8.94366455078125,0.07493272194818112,-0.48967139654709807,3.166963664058801,-0.11696914220189099,-1.3187171506137612,8.40324166579124
3198,0.000897705078125,0.42236968874931335,-0.015707962214946747,-0.06457718461751938,0.3922659754753113,-1.2650578022003174,8.94366455078125,0.07663879494152481,-0.4897299741596644,3.1666634537983054,-0.11665477601684275,-1.3207714751445876,8.416528068038112
3199,0.004887451171875,0.4328416585922241,-0.02094395086169243,-0.06283184885978699,0.3922659754753113,-1.2650578022003174,8.94366455078125,0.07701795835596115,-0.4897440752771118,3.1666054825317436,-0.11658597698144237,-1.3212111082293008,8.4193707979013
3200,0.004261962890625,0.4328416585922241,-0.02094395086169243,-0.06283184885978699,0.42168593406677246,-1.2748644351959229,8.914244651794434,0.07913345082748403,-0.4898464378142945,3.1662983949384023,-0.11620955547062017,-1.3236047084839329,8.434847427577767
3201,0.0006376953125,0.4415682852268219,-0.01745329238474369,-0.0593411922454834,0.42168593406677246,-1.2748644351959229,8.914244651794434,0.08097820591392067,-0.4899357001556501,3.166030607930213,-0.11587229163978635,-1.3256924158240022,8.44834207383764
