,t,ax,ay,az,gx,gy,gz,vx,vy,vz,x,y,z
2738,0.005195068359375,-0.2687807083129883,-0.03839724510908127,0.10122909396886826,1.1277647018432617,-10.24794864654541,-0.254972904920578,-0.2872224948006847,2.9302952653985455,0.1858507478569145,-0.9350193109861161,5.782244333279972,0.4286761791912588
2739,0.00302490234375,-0.2687807083129883,-0.03839724510908127,0.10122909396886826,1.1669913530349731,-10.32640266418457,-0.26477953791618347,-0.2886188289540519,2.9300957890853923,0.18637663992004036,-0.9365114514809559,5.797467417496869,0.42964168653101636
2740,0.0017265625,-0.24085544049739838,-0.04363323003053665,0.09075711667537689,1.1669913530349731,-10.32640266418457,-0.26477953791618347,-0.2894318643485826,2.929979641168668,0.18668284804364246,-0.9373844952531095,5.806330671116686,0.43020545766593077
2741,0.005027099609375,-0.2076941728591919,-0.05061454698443413,0.08028514683246613,1.1669913530349731,-10.32640266418457,-0.26477953791618347,-0.2898477163200664,2.9299043056699436,0.1868395458779023,-0.9378842174563987,5.811389464090891,0.4305277772707561
2742,0.00298193359375,-0.2076941728591919,-0.05061454698443413,0.08028514683246613,1.2160245180130005,-10.43427562713623,-0.19613298773765564,-0.2908918156153163,2.9296498613005695,0.1872431473081824,-0.9393413107978895,5.826118384881431,0.4314670382788547
2743,0.002043701171875,-0.16929693520069122,-0.04886921867728233,0.06981316953897476,1.2160245180130005,-10.43427562713623,-0.19613298773765564,-0.2915111458465912,2.929498932082584,0.18748255228460128,-0.9402087308750199,5.834854406220768,0.43202538491001247
2744,0.005063232421875,-0.13264502584934235,-0.06108652427792549,0.06457718461751938,1.2160245180130005,-10.43427562713623,-0.19613298773765564,-0.29185713819145576,2.9293990580031046,0.18762522954100044,-0.9408044925454012,5.840841426621272,0.4324085432218226
2745,0.0031162109375,-0.13264502584934235,-0.06108652427792549,0.06457718461751938,1.2748644351959229,-10.54214859008789,-0.029419949278235435,-0.2925287507869366,2.9290897627328407,0.18795219883586925,-0.9422822330700478,5.8556736549083634,0.4333585333671963
2746,0.00169482421875,-0.09599310904741287,-0.06806784123182297,0.05585053563117981,1.2748644351959229,-10.54214859008789,-0.029419949278235435,-0.29294210066729326,2.928899404237752,0.18815343496488734,-0.9431938143627833,5.864801316463911,0.4339442320649359
2747,0.005105712890625,-0.06108652427792549,-0.07330382615327835,0.054105207324028015,1.2748644351959229,-10.54214859008789,-0.029419949278235435,-0.29310479211333995,2.928784041211914,0.18824809180530522,-0.9436902997296858,5.869765286108495,0.43426311906335535
2748,0.00305126953125,-0.06108652427792549,-0.07330382615327835,0.054105207324028015,1.3238977193832397,-10.640214920043945,0.18632633984088898,-0.2934166823677892,2.9284097729217913,0.18852433745978944,-0.9451868086450828,5.884718816541568,0.4352242597723212
2749,0.001939697265625,-0.02094395086169243,-0.08203047513961792,0.04712389037013054,1.3238977193832397,-10.640214920043945,0.18632633984088898,-0.2936030738180884,2.9281861031905256,0.18868942703037922,-0.9460821020279521,5.8936541840566985,0.4357994983391114
2750,0.00501123046875,0.010471975430846214,-0.0890117883682251,0.05235987901687622,1.3238977193832397,-10.640214920043945,0.18632633984088898,-0.2936436987423062,2.9280269889021997,0.1887808331116758,-0.9466516031074161,5.899333978634298,0.43616549870477456
2751,0.002520751953125,0.010471975430846214,-0.0890117883682251,0.05235987901687622,1.3238977193832397,-10.532341957092285,0.313812792301178,-0.2935912212599592,2.9275809303162506,0.18904322053274522,-0.94812311935751,5.9140069966944075,0.43711152296757977
2752,0.002715087890625,0.04712389037013054,-0.09773843735456467,0.05235987901687622,1.3238977193832397,-10.532341957092285,0.313812792301178,-0.2935648240074388,2.9273565536768706,0.18917520680004238,-0.9488631900019213,5.921386702042434,0.43758805403496276
