,t,ax,ay,az,gx,gy,gz,vx,vy,vz,x,y,z
820,2896.878662109375,-0.04712389037013054,-0.036651913076639175,0.07853981852531433,0.45110589265823364,-0.7453053593635559,9.532063484191895,6576.69710828812,-3561.2649538987052,88674.65043912179,-210558942.99819613,1607737875.9389918,32315949544.408417
821,2897.699462890625,-0.04712389037013054,-0.036651913076639175,0.07853981852531433,0.4609125256538391,-0.7551120519638062,9.532063484191895,6440.184915799307,-3667.441098815909,88902.17076353371,-191507049.47803974,1597421323.4839246,32572829247.135517
822,2901.83544921875,-0.0593411922454834,-0.03316125646233559,0.07853981852531433,0.4609125256538391,-0.7551120519638062,9.532063484191895,6303.6340439844635,-3773.647327652,89129.75555349005,-172845329.10661197,1586794181.3817027,32830441019.60682
823,2906.83837890625,-0.06632251292467117,-0.024434609338641167,0.07853981852531433,0.4609125256538391,-0.7551120519638062,9.532063484191895,6131.435668727615,-3869.87583719504,89357.66518306201,-154553220.3788755,1575843677.7934725,33089080903.85214
824,2907.744873046875,-0.06632251292467117,-0.024434609338641167,0.07853981852531433,0.4903324842453003,-0.7453053593635559,9.512450218200684,5938.646842772675,-3940.903297394184,89585.96774182371,-136730127.85922313,1564594574.188312,33348829194.45571
825,2911.84033203125,-0.06981316953897476,-0.022689279168844223,0.07504915446043015,0.4903324842453003,-0.7453053593635559,9.512450218200684,5745.797895848377,-4011.9529074235206,89814.34149647072,-119462057.94931483,1553135432.8301406,33609322332.853943
826,2916.82373046875,-0.06283184885978699,-0.02094395086169243,0.07853981852531433,0.4903324842453003,-0.7453053593635559,9.512450218200684,5542.513093077855,-4078.0204656120777,90032.87265131345,-102731211.89648318,1541453266.5440948,33870847354.8182
827,2917.50439453125,-0.06283184885978699,-0.02094395086169243,0.07853981852531433,0.509945809841156,-0.7551120519638062,9.502643585205078,5359.2436652944025,-4139.110278495234,90261.9594577748,-86564678.1801598,1529558399.6766603,34133457374.289818
828,2921.76806640625,-0.06457718461751938,-0.01745329238474369,0.07504915446043015,0.509945809841156,-0.7551120519638062,9.502643585205078,5175.931470129451,-4200.214347173068,90491.09972346808,-70929061.23529983,1517482527.249701,34396797037.66688
829,2926.856689453125,-0.06283184885978699,-0.013962633907794952,0.07504915446043015,0.509945809841156,-0.7551120519638062,9.502643585205078,4987.251914295562,-4251.208819516463,90710.37594638138,-55806189.95196843,1505210475.0980694,34661191043.13289
830,2927.237548828125,-0.06283184885978699,-0.013962633907794952,0.07504915446043015,0.47071918845176697,-0.6864655017852783,9.590903282165527,4803.352097149586,-4292.075447971878,90930.03406615167,-41209218.32462454,1492767796.1264055,34926687313.77437
